cellName,coverage_bool_vcf,depth_vcf,coverage_bool_gvcf,depth_gvcf
A10_1001000407,1,"['8', '6', '25']",1,"['8', '6', '25']"
A10_1001000408,1,3,1,3
A10_1001000412,1,"['12', '12', '12', '3', '14']",1,"['12', '12', '12', '3', '14']"
A10_B000863,0,0,0,0
A10_B001470,0,0,0,0
A10_B001545,0,0,0,0
A10_B001548,1,['53'],1,['53']
A10_B001554,0,0,0,0
A10_B002572,0,0,0,0
A10_B003115,0,0,0,0
A10_B003527,1,['27'],1,['27']
A10_B003528,0,0,0,0
A10_B003529,1,"['16', '10', '10', '17']",1,"['16', '10', '10', '17']"
A10_B003588,1,['7'],1,['7']
A11_1001000407,1,"['3', '36']",1,"['3', '36']"
A11_B001470,1,2,1,2
A11_B001474,0,0,0,0
A11_B001545,0,0,0,0
A11_B002077,0,0,0,0
A11_B002079,1,"['21', '45', '45', '41', '69', '51', '9', '9', '9']",1,"['21', '45', '45', '41', '69', '51', '9', '9', '9']"
A11_B002573,0,0,0,0
A11_B003067,0,0,0,0
A11_B003115,0,0,0,0
A11_B003119,0,0,0,0
A11_B003518,1,"['4', '18', '18']",1,"['4', '18', '18']"
A11_B003523,0,0,0,0
A11_B003528,1,"['62', '89']",1,"['62', '89']"
A12_1001000317,1,"['6', '6']",1,"['6', '6']"
A12_1001000412,0,0,1,7
A12_B002078,0,0,0,0
A12_B002572,0,0,0,0
A12_B003070,0,0,0,0
A12_B003105,1,2,1,2
A12_B003119,1,10,1,10
A13_1001000407,1,"['9', '8', '6', '6']",1,"['24', '24', '22', '22']"
A13_B000420,0,0,0,0
A13_B002079,1,['43'],1,['43']
A13_B003103,1,"['2', '41', '17', '52', '52', '48', '9', '43']",1,"['2', '41', '17', '52', '52', '48', '9', '43']"
A13_B003518,1,"['6', '6', '6']",1,"['6', '6', '6']"
A13_B003771,1,"['14', '18', '12', '4', '4']",1,"['14', '18', '12', '4', '4']"
A13_B003894,0,0,0,0
A14_1001000339,0,0,0,0
A14_1001000340,1,14,1,14
A14_1001000407,1,"['10', '14', '13']",1,"['20', '25', '24']"
A14_1001000408,0,0,1,['9']
A14_1001000412,1,"['11', '7']",1,"['19', '14', '59']"
A14_B001016,0,0,0,0
A14_B002078,1,107,1,107
A14_B002079,1,"['12', '5', '2', '2']",1,"['12', '5', '2', '2']"
A14_B003105,0,0,0,0
A14_B003112,0,0,0,0
A14_B003132,0,0,0,0
A14_B003187,1,53,1,53
A14_B003191,1,6,1,6
A14_B003518,1,4,1,['4']
A14_B003529,0,0,0,0
A14_B003771,0,0,0,0
A14_B003776,0,0,0,0
A14_B003930,0,0,0,0
A15_1001000407,1,"['16', '7', '8']",1,"['28', '18', '26', '2']"
A15_1001000408,0,0,0,0
A15_B000420,0,0,0,0
A15_B001557,1,"['36', '277', '295', '245', '302']",1,"['36', '277', '295', '245', '302']"
A15_B002073,0,0,0,0
A15_B002074,0,0,0,0
A15_B002078,0,0,0,0
A15_B002079,1,"['19', '11']",1,"['19', '11']"
A15_B003105,1,['12'],1,['12']
A15_B003112,1,"['6', '36', '53']",1,"['6', '36', '53']"
A15_B003116,0,0,0,0
A15_B003125,0,0,0,0
A15_B003126,0,0,0,0
A15_B003129,0,0,0,0
A15_B003191,0,0,0,0
A15_B003518,1,"['7', '6']",1,"['7', '6']"
A15_B003522,1,4,1,4
A15_B003527,1,"['23', '37', '29', '90']",1,"['23', '37', '29', '90']"
A15_B003771,0,0,0,0
A15_B003894,0,0,0,0
A15_B003920,0,0,0,0
A16_1001000412,1,['5'],1,"['9', '3', '4', '3', '3', '5']"
A16_B001007,0,0,0,0
A16_B001010,1,49,1,49
A16_B002073,0,0,0,0
A16_B002074,1,5,1,5
A16_B003112,1,22,1,22
A16_B003116,0,0,0,0
A16_B003120,0,0,0,0
A16_B003125,0,0,0,0
A16_B003129,0,0,0,0
A16_B003187,0,0,0,0
A16_B003191,0,0,0,0
A16_B003654,0,0,0,0
A16_B003775,0,0,0,0
A16_B003777,0,0,0,0
A16_B003894,0,0,0,0
A16_B003930,0,0,0,0
A16_B003995,1,"['6', '6']",1,"['6', '6']"
A17_1001000407,1,['20'],1,"['36', '38']"
A17_1001000408,1,['12'],1,['13']
